Episode: 1
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.724, 0.015];[-0.018, -0.003];1;93.485;1.000;0.000;13;136;1
25;[0.015];[0.209];0;0.000;8.200;50.000;1;1;1
26;[-0.183];[0.209];0;0.000;8.200;50.000;1;1;1
.
Episode: 31
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;94.456;1.000;13.340;82;2023;1
2;[-0.256, 1.519];[-0.189, -0.003];0;95.952;1.000;4.339;36;1552;1
3;[-0.989, -0.265];[-0.184, -0.014];0;89.375;1.000;20.000;24;565;1
4;[0.546, 1.515];[0.017, 0.193];1;92.173;1.000;18.328;45;462;1
5;[0.532, 1.292];[-0.003, 0.085];0;85.795;0.485;30.956;62;381;1
6;[0.567, 1.562];[-0.003, 0.023];0;89.191;0.560;23.572;12;152;1
7;[-1.724, 0.015];[-0.018, -0.003];1;88.302;1.000;20.014;13;149;1
8;[-1.569, -0.995];[-0.121, -0.037];0;95.399;1.003;6.691;7;36;1
9;[-1.751, -0.734];[-0.030, -0.019];1;81.211;1.007;23.049;10;32;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[-1.763, -0.990];[-0.034, -0.014];0;20.000;1.495;1.007;13;13;1
13;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
14;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
15;[1.354, 1.538];[0.009, 0.028];0;100.000;1.773;2.621;4;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;5.608;16.667;3;3;1
20;[1.532, 1.544];[0.063, 0.073];0;20.000;5.608;10.000;3;3;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
.
Episode: 32
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;81.054;1.000;2.669;82;2092;1
2;[-0.256, 1.519];[-0.189, -0.003];0;80.811;1.000;2.686;36;1613;1
3;[-0.989, -0.265];[-0.184, -0.014];0;85.854;1.000;21.843;24;590;1
4;[0.546, 1.515];[0.017, 0.193];1;83.742;1.000;7.986;45;491;1
5;[0.532, 1.292];[-0.003, 0.085];0;79.345;0.503;33.635;62;386;1
6;[0.567, 1.562];[-0.003, 0.023];0;97.733;0.488;8.910;12;159;1
7;[-1.724, 0.015];[-0.018, -0.003];1;95.209;1.000;12.989;13;153;1
8;[-1.569, -0.995];[-0.121, -0.035];0;95.974;1.002;0.007;8;37;1
9;[-1.751, -0.734];[-0.030, -0.019];1;84.969;1.006;22.197;10;33;1
10;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
11;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
12;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
13;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
14;[-1.763, -0.990];[-0.034, -0.014];0;20.000;1.495;1.007;13;13;1
15;[1.354, 1.538];[0.009, 0.028];0;100.000;1.495;1.678;4;13;1
16;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
17;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
18;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
19;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
20;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
.
Episode: 33
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;80.580;1.000;2.006;82;2168;1
2;[-0.256, 1.519];[-0.189, -0.003];0;82.666;1.000;4.421;36;1674;1
3;[-0.989, -0.265];[-0.184, -0.014];0;80.208;1.000;1.994;24;614;1
4;[0.546, 1.515];[0.017, 0.193];1;71.639;1.000;23.045;45;509;1
5;[0.532, 1.292];[-0.003, 0.085];0;78.585;0.200;30.232;62;392;1
6;[0.567, 1.562];[-0.003, 0.023];0;83.406;0.798;18.930;12;165;1
7;[-1.724, 0.015];[-0.018, -0.003];1;98.744;1.000;5.289;13;159;1
8;[-1.569, -0.995];[-0.121, -0.035];0;93.433;1.001;6.892;8;42;1
9;[-1.751, -0.734];[-0.030, -0.019];1;90.380;1.004;19.016;10;35;1
10;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
11;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
12;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
13;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
14;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
20;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[1.354, 1.569];[0.009, 0.028];0;100.000;1.396;1.342;5;14;1
.
Episode: 34
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;89.360;1.000;10.237;82;2246;1
2;[-0.256, 1.519];[-0.189, -0.003];0;80.592;1.000;2.394;36;1734;1
3;[-0.989, -0.265];[-0.184, -0.014];0;86.090;1.000;9.895;24;645;1
4;[0.546, 1.515];[0.017, 0.193];1;89.637;1.000;24.750;45;520;1
5;[0.532, 1.292];[-0.003, 0.085];0;89.199;0.456;26.158;62;401;1
6;[0.567, 1.562];[-0.003, 0.023];0;91.973;0.571;19.148;12;173;1
7;[-1.724, 0.015];[-0.018, -0.003];1;89.246;1.000;17.784;13;163;1
8;[-1.569, -0.995];[-0.121, -0.035];0;95.797;1.000;6.513;8;44;1
9;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
13;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
14;[1.354, 1.569];[0.009, 0.028];0;100.000;1.396;1.342;5;14;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
20;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.751, -0.734];[-0.031, -0.019];1;83.618;1.001;16.899;11;40;1
.
Episode: 35
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;80.047;1.000;0.308;36;1797;1
2;[-0.989, -0.265];[-0.184, -0.014];0;85.863;1.000;12.756;24;668;1
3;[0.546, 1.515];[0.017, 0.193];1;87.523;1.000;15.428;45;544;1
4;[0.532, 1.292];[-0.003, 0.085];0;73.543;0.409;39.473;62;408;1
5;[0.567, 1.562];[-0.003, 0.023];0;98.653;0.745;5.906;12;181;1
6;[-1.724, 0.015];[-0.018, -0.003];1;93.550;1.000;17.034;13;170;1
7;[-1.569, -0.995];[-0.121, -0.035];0;97.848;1.000;4.948;8;47;1
8;[-1.751, -0.734];[-0.031, -0.019];1;86.894;1.001;16.796;11;41;1
9;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
13;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
14;[1.354, 1.569];[0.009, 0.028];0;100.000;1.317;1.074;5;15;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
20;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.757, 0.543];[-0.002, 0.208];1;80.131;1.000;0.682;83;2315;1
.
Episode: 36
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-0.256, 1.519];[-0.189, -0.003];0;80.405;1.000;1.823;36;1858;1
2;[-0.989, -0.265];[-0.184, -0.014];0;89.758;1.000;10.665;24;696;1
3;[0.546, 1.515];[0.017, 0.193];1;70.148;1.000;26.760;45;561;1
4;[0.532, 1.292];[-0.003, 0.085];0;64.264;0.249;42.615;62;414;1
5;[0.567, 1.562];[-0.003, 0.023];0;83.559;0.902;18.266;12;186;1
6;[-1.724, 0.015];[-0.018, -0.003];1;98.309;1.000;7.002;13;176;1
7;[-1.569, -0.995];[-0.121, -0.035];0;99.119;1.000;2.908;8;51;1
8;[-1.751, -0.734];[-0.031, -0.019];1;75.612;1.001;26.749;11;43;1
9;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
12;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
13;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
14;[1.354, 1.569];[0.009, 0.028];0;100.000;1.253;0.859;5;16;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
20;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.757, 0.543];[-0.002, 0.208];1;80.717;1.000;3.048;83;2390;1
.
Episode: 37
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;80.551;1.000;2.105;84;2464;1
2;[-0.989, -0.265];[-0.184, -0.014];0;89.029;1.000;11.199;24;716;1
3;[0.546, 1.515];[0.017, 0.193];1;68.776;1.000;28.933;45;576;1
4;[0.532, 1.292];[-0.003, 0.085];0;69.402;0.407;41.524;62;428;1
5;[0.567, 1.562];[-0.003, 0.023];0;92.034;0.804;17.854;12;197;1
6;[-1.724, 0.015];[-0.018, -0.003];1;86.849;1.000;23.294;13;185;1
7;[-1.569, -0.995];[-0.121, -0.035];0;99.119;1.000;2.908;8;51;1
8;[-1.751, -0.734];[-0.031, -0.019];1;75.612;1.001;26.749;11;43;1
9;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
10;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
11;[1.354, 1.569];[0.009, 0.028];0;100.000;1.253;0.859;5;16;1
12;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
13;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
14;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
15;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
16;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
17;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
18;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
19;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
20;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
21;[-1.315, -0.990];[-0.033, -0.032];1;20.000;5.608;10.000;3;3;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-0.256, 1.574];[-0.189, -0.003];0;80.794;1.000;0.000;37;1926;1
.
Episode: 38
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;91.479;1.000;13.877;84;2548;1
2;[-0.256, 1.574];[-0.189, -0.003];0;84.372;1.000;8.748;37;1983;1
3;[-0.989, -0.265];[-0.184, -0.014];0;92.404;1.000;9.624;24;747;1
4;[0.546, 1.515];[0.017, 0.193];1;68.013;1.000;34.811;45;579;1
5;[0.532, 1.292];[-0.003, 0.085];0;77.209;0.539;33.418;62;437;1
6;[0.567, 1.562];[-0.003, 0.023];0;97.390;0.920;9.113;12;202;1
7;[-1.724, 0.015];[-0.018, -0.003];1;98.588;1.000;6.031;13;195;1
8;[-1.569, -0.995];[-0.121, -0.035];0;99.549;1.000;1.828;8;54;1
9;[-1.751, -0.734];[-0.031, -0.019];1;55.592;1.000;34.915;11;45;1
10;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
11;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
12;[1.354, 1.569];[0.009, 0.028];0;100.000;1.253;0.859;5;16;1
13;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
14;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
15;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
16;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
17;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
18;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
19;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
20;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
21;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.315, -0.990];[-0.033, -0.032];1;20.000;4.686;7.500;4;4;1
.
Final
id;cond;;act;pred;fit;prederr;num;exp;actsetsize
1;[-1.757, 0.543];[-0.002, 0.208];1;91.479;1.000;13.877;84;2548;1
2;[-0.256, 1.574];[-0.189, -0.003];0;84.372;1.000;8.748;37;1983;1
3;[-0.989, -0.265];[-0.184, -0.014];0;92.404;1.000;9.624;24;747;1
4;[0.546, 1.515];[0.017, 0.193];1;68.013;1.000;34.811;45;579;1
5;[0.532, 1.292];[-0.003, 0.085];0;77.209;0.539;33.418;62;437;1
6;[0.567, 1.562];[-0.003, 0.023];0;97.390;0.920;9.113;12;202;1
7;[-1.724, 0.015];[-0.018, -0.003];1;98.588;1.000;6.031;13;195;1
8;[-1.569, -0.995];[-0.121, -0.035];0;99.549;1.000;1.828;8;54;1
9;[-1.751, -0.734];[-0.031, -0.019];1;55.592;1.000;34.915;11;45;1
10;[-2.545, 1.708];[0.086, 0.209];0;0.000;1.007;0.024;32;32;1
11;[-1.598, 0.543];[-0.003, 0.183];0;12.000;1.104;0.267;20;20;1
12;[1.354, 1.569];[0.009, 0.028];0;100.000;1.253;0.859;5;16;1
13;[-0.542, -0.350];[-0.110, -0.018];1;15.714;1.396;0.920;14;14;1
14;[0.039, 0.492];[-0.024, -0.002];1;23.495;1.396;3.243;6;14;1
15;[-1.763, -0.990];[-0.035, -0.014];0;20.000;1.396;0.805;14;14;1
16;[-2.154, -0.268];[-0.013, 0.070];0;16.364;1.773;1.764;11;11;1
17;[0.545, 1.734];[-0.183, 0.016];1;10.000;1.966;2.621;10;10;1
18;[0.735, 1.304];[0.024, 0.079];0;17.778;2.208;2.640;9;9;1
19;[1.308, 1.512];[0.029, 0.078];0;17.500;2.510;3.328;8;8;1
20;[1.522, 1.569];[0.016, 0.030];0;100.000;4.686;12.500;3;4;1
21;[1.532, 1.544];[0.063, 0.075];0;20.000;4.686;7.500;4;4;1
22;[-0.263];[-0.015];0;20.000;8.200;30.000;1;1;1
23;[-0.134];[-0.003];1;20.000;8.200;30.000;1;1;1
24;[-1.315, -0.990];[-0.033, -0.032];1;20.000;4.686;7.500;4;4;1
